Date : 2023-01-03 02:28:22
Directory : /Users/masterfoo/bin/dpl-project
Total : 186 files,  16115 codes, 822 comments, 1007 blanks, all 17944 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         11 |     11,164 |          2 |          7 |     11,173 |
| C#                 |         53 |      2,122 |        359 |        474 |      2,955 |
| TypeScript         |         62 |      2,000 |        343 |        426 |      2,769 |
| HTML               |         27 |        595 |        111 |         41 |        747 |
| Database           |          2 |        107 |          0 |          7 |        114 |
| JavaScript         |          1 |         37 |          6 |          2 |         45 |
| CSS                |         27 |         33 |          1 |         31 |         65 |
| JSON with Comments |          1 |         23 |          0 |          1 |         24 |
| XML                |          1 |         20 |          0 |          4 |         24 |
| Markdown           |          1 |         14 |          0 |         14 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                           |        186 |     16,115 |        822 |      1,007 |     17,944 |
| API                                                                                                         |         60 |      2,468 |        359 |        486 |      3,313 |
| API/.config                                                                                                 |          1 |         12 |          0 |          0 |         12 |
| API/Controllers                                                                                             |          9 |        542 |        165 |        103 |        810 |
| API/CustomMiddleware                                                                                        |          1 |         46 |          0 |          5 |         51 |
| API/DTOs                                                                                                    |         12 |        213 |         16 |         23 |        252 |
| API/Data                                                                                                    |          8 |        438 |        105 |         65 |        608 |
| API/Entities                                                                                                |          6 |         84 |         37 |         11 |        132 |
| API/Errors                                                                                                  |          1 |         19 |          0 |          2 |         21 |
| API/Extensions                                                                                              |          3 |         76 |          0 |          7 |         83 |
| API/HelperFunctions                                                                                         |          3 |         91 |         17 |         24 |        132 |
| API/Interfaces                                                                                              |          6 |         87 |          7 |         46 |        140 |
| API/Migrations                                                                                              |          3 |        539 |          2 |        160 |        701 |
| API/Properties                                                                                              |          1 |         31 |          0 |          1 |         32 |
| API/Services                                                                                                |          1 |         40 |          2 |          7 |         49 |
| client                                                                                                      |        124 |     13,636 |        463 |        519 |     14,618 |
| client/src                                                                                                  |        116 |      2,628 |        455 |        498 |      3,581 |
| client/src/app                                                                                              |        109 |      2,576 |        382 |        475 |      3,433 |
| client/src/app/_guards                                                                                      |          2 |         33 |          5 |         10 |         48 |
| client/src/app/_interceptors                                                                                |          4 |        116 |         11 |         27 |        154 |
| client/src/app/_models                                                                                      |         10 |        109 |          7 |         18 |        134 |
| client/src/app/_modules                                                                                     |          1 |         25 |          1 |          2 |         28 |
| client/src/app/_services                                                                                    |          8 |        277 |         62 |         71 |        410 |
| client/src/app/bugs                                                                                         |         15 |        557 |         55 |         76 |        688 |
| client/src/app/bugs/bug-card                                                                                |          3 |        174 |         12 |         22 |        208 |
| client/src/app/bugs/bug-edit                                                                                |          3 |         92 |         11 |         15 |        118 |
| client/src/app/bugs/bug-info                                                                                |          3 |        182 |         27 |         20 |        229 |
| client/src/app/bugs/bug-list                                                                                |          3 |         30 |          1 |          8 |         39 |
| client/src/app/bugs/bug-new                                                                                 |          3 |         79 |          4 |         11 |         94 |
